date,carrier,manufacturer,device_nm,product_group_nm,storage,dealer,join_type,support_type,rate_plan,rate_plan_month_fee,retail_price,total_support_fee,dealer_subsidy,origin_installment_principal,origin_month_device_price,origin_month_price,month_rate_plan_price,installment_principal,month_device_price,month_price,margin,margin_amount
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,번호이동,공시,티빙/지니/밀리 초이스 스페셜,110000.0,1485000.0,600000.0,380000.0,505000.0,21042.0,85752.0,64710,905000.0,37708.0,102418.0,0.7920792079207921,400000.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,번호이동,공시,스페셜,100000.0,1485000.0,600000.0,330000.0,555000.0,23125.0,85259.0,62134,955155.0,39798.0,101932.0,0.721,400155.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,번호이동,공시,티빙/지니/밀리 초이스 베이직,90000.0,1485000.0,600000.0,330000.0,555000.0,23125.0,82684.0,59559,955155.0,39798.0,99357.0,0.721,400155.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,번호이동,공시,5G 심플 30GB,61000.0,1485000.0,377000.0,280000.0,828000.0,34500.0,86590.0,52090,1228000.0,51167.0,103257.0,0.4830917874396135,400000.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,번호이동,공시,5G 슬림 4GB,37000.0,1485000.0,196000.0,140000.0,1149000.0,47875.0,66388.0,18513,1608600.0,67025.0,85538.0,0.4,459600.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,번호이동,선약,티빙/지니/밀리 초이스 스페셜,110000.0,1485000.0,0.0,380000.0,1105000.0,46042.0,90939.0,44897,1547000.0,64458.0,109355.0,0.4,442000.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,번호이동,선약,스페셜,100000.0,1485000.0,0.0,330000.0,1155000.0,48125.0,91687.0,43562,1617000.0,67375.0,110937.0,0.4,462000.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,번호이동,선약,티빙/지니/밀리 초이스 베이직,90000.0,1485000.0,0.0,330000.0,1155000.0,48125.0,90351.0,42226,1617000.0,67375.0,109601.0,0.4,462000.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,번호이동,선약,5G 심플 30GB,61000.0,1485000.0,0.0,280000.0,1205000.0,50208.0,88561.0,38353,1687000.0,70292.0,108645.0,0.4,482000.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,번호이동,선약,5G 슬림 4GB,37000.0,1485000.0,0.0,140000.0,1345000.0,56042.0,68443.0,12401,1883000.0,78458.0,90859.0,0.4,538000.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,기기변경,공시,티빙/지니/밀리 초이스 스페셜,110000.0,1485000.0,600000.0,220000.0,665000.0,27708.0,92418.0,64710,1065330.0,44389.0,109099.0,0.602,400330.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,기기변경,공시,스페셜,100000.0,1485000.0,600000.0,220000.0,665000.0,27708.0,89842.0,62134,1065330.0,44389.0,106523.0,0.602,400330.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,기기변경,공시,티빙/지니/밀리 초이스 베이직,90000.0,1485000.0,600000.0,220000.0,665000.0,27708.0,87267.0,59559,1065330.0,44389.0,103948.0,0.602,400330.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,기기변경,공시,5G 심플 30GB,61000.0,1485000.0,377000.0,230000.0,878000.0,36583.0,88673.0,52090,1278368.0,53265.0,105355.0,0.456,400368.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,기기변경,공시,5G 슬림 4GB,37000.0,1485000.0,196000.0,90000.0,1199000.0,49958.0,68471.0,18513,1678600.0,69942.0,88455.0,0.4,479600.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,기기변경,선약,티빙/지니/밀리 초이스 스페셜,110000.0,1485000.0,0.0,220000.0,1265000.0,52708.0,97605.0,44897,1771000.0,73792.0,118689.0,0.4,506000.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,기기변경,선약,스페셜,100000.0,1485000.0,0.0,220000.0,1265000.0,52708.0,96270.0,43562,1771000.0,73792.0,117354.0,0.4,506000.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,기기변경,선약,티빙/지니/밀리 초이스 베이직,90000.0,1485000.0,0.0,220000.0,1265000.0,52708.0,94934.0,42226,1771000.0,73792.0,116018.0,0.4,506000.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,기기변경,선약,5G 심플 30GB,61000.0,1485000.0,0.0,230000.0,1255000.0,52292.0,90645.0,38353,1757000.0,73208.0,111561.0,0.4,502000.0
2025. 7. 14,KT,삼성,SM-F766,갤럭시 Z 플립 7,256GB,맥스,기기변경,선약,5G 슬림 4GB,37000.0,1485000.0,0.0,90000.0,1395000.0,58125.0,70526.0,12401,1953000.0,81375.0,93776.0,0.4,558000.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,번호이동,공시,티빙/지니/밀리 초이스 스페셜,110000.0,1496000.0,600000.0,440000.0,456000.0,19000.0,83710.0,64710,856000.0,35667.0,100377.0,0.8771929824561403,400000.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,번호이동,공시,스페셜,100000.0,1496000.0,600000.0,390000.0,506000.0,21083.0,83217.0,62134,906246.0,37760.0,99894.0,0.791,400246.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,번호이동,공시,티빙/지니/밀리 초이스 베이직,90000.0,1496000.0,600000.0,390000.0,506000.0,21083.0,80642.0,59559,906246.0,37760.0,97319.0,0.791,400246.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,번호이동,공시,5G 심플 30GB,61000.0,1496000.0,377000.0,230000.0,889000.0,37042.0,89132.0,52090,1289050.0,53710.0,105800.0,0.45,400050.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,번호이동,공시,5G 슬림 4GB,37000.0,1496000.0,196000.0,140000.0,1160000.0,48333.0,66846.0,18513,1624000.0,67667.0,86180.0,0.4,464000.0
2025. 7. 14,KT,삼성,SM-S937,갤럭시 S25 엣지,256GB,맥스,번호이동,선약,티빙/지니/밀리 초이스 스페셜,110000.0,1496000.0,0.0,440000.0,1056000.0,44000.0,88897.0,44897,1478400.0,61600.0,106497.0,0.4,422400.0
