date,carrier,manufacturer,device_nm,product_group_nm,storage,dealer,join_type,support_type,rate_plan,rate_plan_month_fee,retail_price,total_support_fee,dealer_subsidy,origin_installment_principal,origin_month_device_price,origin_month_price,month_rate_plan_price,installment_principal,month_device_price,month_price,margin,margin_amount
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,(유튜브 프리미엄) 초이스 스페셜,110000.0,1496000.0,575000.0,370000.0,551000.0,22958.0,132958.0,110000,651000.0,27125.0,137125.0,0.18148820326678766,100000.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,Y 스페셜,100000.0,1496000.0,575000.0,370000.0,551000.0,22958.0,122958.0,100000,651000.0,27125.0,127125.0,0.18148820326678766,100000.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,(유튜브 프리미엄) 초이스 베이직,90000.0,1496000.0,575000.0,220000.0,701000.0,29208.0,119208.0,90000,801243.0,33385.0,123385.0,0.143,100243.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,5G 심플 30GB,61000.0,1496000.0,381800.0,100000.0,1014200.0,42258.0,103258.0,61000,1114606.0,46442.0,107442.0,0.099,100406.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,5G 슬림 4GB(이월),37000.0,1496000.0,241500.0,80000.0,1174500.0,48938.0,67450.0,18513,1274500.0,53104.0,71617.0,0.08514261387824607,100000.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,(유튜브 프리미엄) 초이스 스페셜,110000.0,1496000.0,575000.0,660000.0,261000.0,10875.0,120875.0,110000,361000.0,15042.0,125042.0,0.3831417624521073,100000.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,Y 스페셜,100000.0,1496000.0,575000.0,610000.0,311000.0,12958.0,112958.0,100000,411142.0,17131.0,117131.0,0.322,100142.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,(유튜브 프리미엄) 초이스 베이직,90000.0,1496000.0,575000.0,610000.0,311000.0,12958.0,102958.0,90000,411142.0,17131.0,107131.0,0.322,100142.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,5G 심플 30GB,61000.0,1496000.0,381800.0,170000.0,944200.0,39342.0,100342.0,61000,1044285.0,43512.0,104512.0,0.106,100085.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,5G 슬림 4GB(이월),37000.0,1496000.0,241500.0,80000.0,1174500.0,48938.0,67450.0,18513,1274500.0,53104.0,71617.0,0.08514261387824607,100000.0
