date,carrier,manufacturer,device_nm,product_group_nm,storage,dealer,join_type,support_type,rate_plan,rate_plan_month_fee,retail_price,total_support_fee,dealer_subsidy,origin_installment_principal,origin_month_device_price,origin_month_price,month_rate_plan_price,installment_principal,month_device_price,month_price,margin,margin_amount
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,(유튜브 프리미엄) 초이스 스페셜,110000.0,1496000.0,575000.0,370000.0,551000.0,22958.0,132958.0,110000,650731.0,27114.0,137114.0,0.181,99731.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,Y 스페셜,100000.0,1496000.0,575000.0,370000.0,551000.0,22958.0,122958.0,100000,650731.0,27114.0,127114.0,0.181,99731.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,(유튜브 프리미엄) 초이스 베이직,90000.0,1496000.0,575000.0,220000.0,701000.0,29208.0,119208.0,90000,801243.0,33385.0,123385.0,0.143,100243.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,5G 심플 30GB,61000.0,1496000.0,381800.0,100000.0,1014200.0,42258.0,103258.0,61000,1114606.0,46442.0,107442.0,0.099,100406.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,신규가입,공시,5G 슬림 4GB(이월),37000.0,1496000.0,241500.0,80000.0,1174500.0,48938.0,67450.0,18513,1274332.0,53097.0,71610.0,0.085,99832.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,(유튜브 프리미엄) 초이스 스페셜,110000.0,1496000.0,575000.0,660000.0,261000.0,10875.0,120875.0,110000,360963.0,15040.0,125040.0,0.383,99963.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,Y 스페셜,100000.0,1496000.0,575000.0,610000.0,311000.0,12958.0,112958.0,100000,411142.0,17131.0,117131.0,0.322,100142.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,(유튜브 프리미엄) 초이스 베이직,90000.0,1496000.0,575000.0,610000.0,311000.0,12958.0,102958.0,90000,411142.0,17131.0,107131.0,0.322,100142.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,5G 심플 30GB,61000.0,1496000.0,381800.0,170000.0,944200.0,39342.0,100342.0,61000,1044285.0,43512.0,104512.0,0.106,100085.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,번호이동,공시,5G 슬림 4GB(이월),37000.0,1496000.0,241500.0,80000.0,1174500.0,48938.0,67450.0,18513,1274332.0,53097.0,71610.0,0.085,99832.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,기기변경,공시,(유튜브 프리미엄) 초이스 스페셜,110000.0,1496000.0,575000.0,450000.0,471000.0,19625.0,129625.0,110000,570852.0,23786.0,133786.0,0.212,99852.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,기기변경,공시,Y 스페셜,100000.0,1496000.0,575000.0,450000.0,471000.0,19625.0,119625.0,100000,570852.0,23786.0,123786.0,0.212,99852.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,기기변경,공시,(유튜브 프리미엄) 초이스 베이직,90000.0,1496000.0,575000.0,450000.0,471000.0,19625.0,109625.0,90000,570852.0,23786.0,113786.0,0.212,99852.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,기기변경,공시,5G 심플 30GB,61000.0,1496000.0,381800.0,120000.0,994200.0,41425.0,102425.0,61000,1094614.0,45609.0,106609.0,0.101,100414.0
2025. 7. 14,KT,삼성,S937,갤럭시 S25 엣지,256GB,더블유,기기변경,공시,5G 슬림 4GB(이월),37000.0,1496000.0,241500.0,30000.0,1224500.0,51021.0,69534.0,18513,1324909.0,55205.0,73718.0,0.082,100409.0
2025. 7. 14,KT,삼성,S931,갤럭시 S25,256GB,더블유,신규가입,공시,(유튜브 프리미엄) 초이스 스페셜,110000.0,1155000.0,575000.0,340000.0,240000.0,10000.0,120000.0,110000,340080.0,14170.0,124170.0,0.417,100080.0
2025. 7. 14,KT,삼성,S931,갤럭시 S25,256GB,더블유,신규가입,공시,Y 스페셜,100000.0,1155000.0,575000.0,340000.0,240000.0,10000.0,110000.0,100000,340080.0,14170.0,114170.0,0.417,100080.0
