date,crawled_at,carrier,manufacturer,scrb_type_name,network_type,device_nm,plan_name,monthly_fee,release_price,public_support_fee,additional_support_fee,total_support_fee,total_price
2025-09-12,2025-09-15 08:32:48,LG,애플,기기변경,5G,iPhone Air 1TB,Global 5GB,37000,2189000,208000,31200,239200,1949800
2025-09-12,2025-09-15 08:32:48,LG,애플,기기변경,5G,iPhone17 ProMax 1TB,Global 5GB,37000,2585000,66000,9900,75900,2509100
2025-09-12,2025-09-15 08:32:48,LG,애플,기기변경,5G,iPhone Air 512GB,Global 5GB,37000,1881000,208000,31200,239200,1641800
2025-09-12,2025-09-15 08:32:48,LG,애플,기기변경,5G,iPhone17 Pro 1TB,Global 5GB,37000,2387000,208000,31200,239200,2147800
2025-09-05,2025-09-15 08:32:48,LG,삼성,기기변경,5G,갤럭시 Z Flip7 256GB,Global 5GB,37000,1485000,262000,33300,295300,1189700
2025-09-05,2025-09-15 08:32:48,LG,삼성,기기변경,5G,갤럭시 S25 Edge 256GB,Global 5GB,37000,1496000,262000,39300,301300,1194700
2025-09-05,2025-09-15 08:32:48,LG,삼성,기기변경,5G,갤럭시 Z Flip7 512GB,Global 5GB,37000,1643400,262000,39300,301300,1342100
2025-09-05,2025-09-15 08:32:48,LG,삼성,기기변경,5G,갤럭시 S25 Edge 512GB,Global 5GB,37000,1639000,262000,39300,301300,1337700
2025-08-14,2025-09-15 08:32:48,LG,삼성,기기변경,5G,갤럭시 S25+ 256GB,Global 5GB,37000,1353000,66000,9900,75900,1277100
2025-08-14,2025-09-15 08:32:48,LG,삼성,기기변경,5G,갤럭시 S25+ 512GB,Global 5GB,37000,1496000,66000,9900,75900,1420100
2025-09-12,2025-09-15 08:32:49,LG,애플,기기변경,5G,iPhone Air 1TB,Global 5GB,37000,2189000,208000,31200,239200,1949800
2025-09-12,2025-09-15 08:32:49,LG,애플,기기변경,5G,iPhone17 ProMax 1TB,Global 5GB,37000,2585000,66000,9900,75900,2509100
2025-09-12,2025-09-15 08:32:49,LG,애플,기기변경,5G,iPhone Air 512GB,Global 5GB,37000,1881000,208000,31200,239200,1641800
2025-09-12,2025-09-15 08:32:49,LG,애플,기기변경,5G,iPhone17 Pro 1TB,Global 5GB,37000,2387000,208000,31200,239200,2147800
2025-09-05,2025-09-15 08:32:49,LG,삼성,기기변경,5G,갤럭시 Z Flip7 256GB,Global 5GB,37000,1485000,262000,33300,295300,1189700
2025-09-05,2025-09-15 08:32:49,LG,삼성,기기변경,5G,갤럭시 S25 Edge 256GB,Global 5GB,37000,1496000,262000,39300,301300,1194700
2025-09-05,2025-09-15 08:32:49,LG,삼성,기기변경,5G,갤럭시 Z Flip7 512GB,Global 5GB,37000,1643400,262000,39300,301300,1342100
2025-09-05,2025-09-15 08:32:49,LG,삼성,기기변경,5G,갤럭시 S25 Edge 512GB,Global 5GB,37000,1639000,262000,39300,301300,1337700
2025-08-14,2025-09-15 08:32:49,LG,삼성,기기변경,5G,갤럭시 S25+ 256GB,Global 5GB,37000,1353000,66000,9900,75900,1277100
2025-08-14,2025-09-15 08:32:49,LG,삼성,기기변경,5G,갤럭시 S25+ 512GB,Global 5GB,37000,1496000,66000,9900,75900,1420100
2025-08-06,2025-09-15 08:32:50,LG,삼성,기기변경,5G,갤럭시 Z Flip7 FE,Global 5GB,37000,1199000,222000,33300,255300,943700
2025-07-22,2025-09-15 08:32:50,LG,기타,기기변경,5G,iPad Pro 13 (M4 모델) 256GB,Global 5GB,37000,2138400,140000,21000,161000,1977400
2025-07-22,2025-09-15 08:32:50,LG,기타,기기변경,5G,Apple Watch SE 2024 44mm 스포츠밴드L,Global 5GB,37000,462000,250000,37500,287500,174500
2025-07-22,2025-09-15 08:32:50,LG,애플,기기변경,5G,iPhone 16 Pro 128GB,Global 5GB,37000,1540000,222000,33300,255300,1284700
2025-07-22,2025-09-15 08:32:50,LG,삼성,기기변경,5G,갤럭시탭 A9+,Global 5GB,37000,418000,200000,30000,230000,188000
2025-07-22,2025-09-15 08:32:50,LG,기타,기기변경,5G,Apple Watch SE 2024 40mm 스포츠밴드S,Global 5GB,37000,418000,250000,37500,287500,130500
2025-07-22,2025-09-15 08:32:50,LG,기타,기기변경,5G,iPad Air 13 (M3 모델) 256GB,Global 5GB,37000,1628000,140000,21000,161000,1467000
2025-07-22,2025-09-15 08:32:50,LG,삼성,기기변경,5G,갤럭시 S25 Ultra 512GB,Global 5GB,37000,1841400,222000,33300,255300,1586100
2025-07-22,2025-09-15 08:32:50,LG,애플,기기변경,5G,iPhone 16e 512GB,Global 5GB,37000,1430000,208000,31200,239200,1190800
2025-07-22,2025-09-15 08:32:50,LG,삼성,기기변경,5G,갤럭시 Z Fold7 512GB,Global 5GB,37000,2537700,222000,33300,255300,2282400
2025-07-22,2025-09-15 08:32:51,LG,애플,기기변경,5G,iPhone 16 Plus 256GB,Global 5GB,37000,1496000,66000,9900,75900,1420100
2025-07-22,2025-09-15 08:32:51,LG,삼성,기기변경,5G,갤럭시 워치8 Ultra2025,Global 5GB,37000,899800,450000,67500,517500,382300
2025-07-22,2025-09-15 08:32:51,LG,애플,기기변경,5G,iPhone 13 128G,Global 5GB,37000,748000,489000,73350,562350,185650
2025-07-22,2025-09-15 08:32:51,LG,기타,기기변경,5G,iPad Air 11 (M3 모델) 128GB,Global 5GB,37000,1188000,140000,21000,161000,1027000
2025-07-22,2025-09-15 08:32:51,LG,삼성,기기변경,5G,갤럭시 A16,Global 5GB,37000,319000,224000,33600,257600,61400
