date,crawled_at,carrier,manufacturer,scrb_type_name,network_type,device_nm,plan_name,monthly_fee,release_price,public_support_fee,additional_support_fee,total_support_fee,total_price
2025-09-05,2025-09-15 10:46:32,KT,삼성,신규가입,5G,갤럭시 Z Flip7 512GB,티빙/지니/밀리 초이스 프리미엄,130000,1643400,600000,0,600000,1043400
2025-09-05,2025-09-15 10:46:32,KT,삼성,신규가입,5G,갤럭시 Z Flip7 256GB,티빙/지니/밀리 초이스 프리미엄,130000,1485000,600000,0,600000,885000
2025-09-05,2025-09-15 10:46:32,KT,삼성,신규가입,5G,갤럭시 S25 엣지 512GB,티빙/지니/밀리 초이스 프리미엄,130000,1639000,600000,0,600000,1039000
2025-09-05,2025-09-15 10:46:32,KT,삼성,신규가입,5G,갤럭시 S25 엣지 256GB,티빙/지니/밀리 초이스 프리미엄,130000,1496000,600000,0,600000,896000
2025-09-05,2025-09-15 10:46:32,KT,삼성,신규가입,5G,갤럭시 Z Fold6 1TB,티빙/지니/밀리 초이스 프리미엄,130000,2704900,700000,0,700000,2004900
2025-08-14,2025-09-15 10:46:32,KT,기타,신규가입,5G,moto g56 5G 256GB,티빙/지니/밀리 초이스 프리미엄,130000,330000,290000,0,290000,40000
2025-08-14,2025-09-15 10:46:32,KT,삼성,신규가입,5G,갤럭시 S25+ 512GB,티빙/지니/밀리 초이스 프리미엄,130000,1496000,250000,0,250000,1246000
2025-08-14,2025-09-15 10:46:32,KT,삼성,신규가입,5G,갤럭시 S25+ 256GB,티빙/지니/밀리 초이스 프리미엄,130000,1353000,250000,0,250000,1103000
2025-08-12,2025-09-15 10:46:32,KT,삼성,신규가입,5G,갤럭시 Jump4 128GB,티빙/지니/밀리 초이스 프리미엄,130000,449900,435000,0,435000,14900
2025-08-12,2025-09-15 10:46:32,KT,삼성,신규가입,5G,갤럭시 Jump3,티빙/지니/밀리 초이스 프리미엄,130000,438900,380000,0,380000,58900
2025-08-01,2025-09-15 10:46:32,KT,삼성,신규가입,5G,갤럭시 A36 5G 128GB,티빙/지니/밀리 초이스 프리미엄,130000,499400,435000,0,435000,64400
2025-08-01,2025-09-15 10:46:32,KT,삼성,신규가입,5G,갤럭시 A16,티빙/지니/밀리 초이스 프리미엄,130000,319000,300000,0,300000,19000
2025-09-05,2025-09-15 10:46:45,KT,삼성,신규가입,5G,갤럭시 Z Flip7 512GB,티빙/지니/밀리 초이스 스페셜,110000,1643400,600000,0,600000,1043400
2025-09-05,2025-09-15 10:46:45,KT,삼성,신규가입,5G,갤럭시 Z Flip7 256GB,티빙/지니/밀리 초이스 스페셜,110000,1485000,600000,0,600000,885000
2025-09-05,2025-09-15 10:46:45,KT,삼성,신규가입,5G,갤럭시 S25 엣지 512GB,티빙/지니/밀리 초이스 스페셜,110000,1639000,600000,0,600000,1039000
2025-09-05,2025-09-15 10:46:45,KT,삼성,신규가입,5G,갤럭시 S25 엣지 256GB,티빙/지니/밀리 초이스 스페셜,110000,1496000,600000,0,600000,896000
2025-09-05,2025-09-15 10:46:45,KT,삼성,신규가입,5G,갤럭시 Z Fold6 1TB,티빙/지니/밀리 초이스 스페셜,110000,2704900,700000,0,700000,2004900
2025-08-14,2025-09-15 10:46:45,KT,기타,신규가입,5G,moto g56 5G 256GB,티빙/지니/밀리 초이스 스페셜,110000,330000,290000,0,290000,40000
2025-08-14,2025-09-15 10:46:45,KT,삼성,신규가입,5G,갤럭시 S25+ 512GB,티빙/지니/밀리 초이스 스페셜,110000,1496000,201000,0,201000,1295000
