date,crawled_at,carrier,manufacturer,scrb_type_name,network_type,device_nm,plan_name,monthly_fee,release_price,public_support_fee,additional_support_fee,total_support_fee,total_price
2025-10-02,2025-10-07 14:04:29,KT,삼성,번호이동,5G,갤럭시 Z Flip7 FE 256GB,티빙/지니/밀리 초이스 프리미엄,130000,1199000,600000,0,600000,599000
2025-10-01,2025-10-07 14:04:29,KT,샤오미,번호이동,5G,샤오미 레드미노트 14 Pro 5G,티빙/지니/밀리 초이스 프리미엄,130000,399300,348000,0,348000,51300
2025-09-19,2025-10-07 14:04:29,KT,삼성,번호이동,5G,갤럭시 S25 FE 256GB,티빙/지니/밀리 초이스 프리미엄,130000,946000,250000,0,250000,696000
2025-09-19,2025-10-07 14:04:29,KT,기타,번호이동,5G,시나모롤 키즈폰,티빙/지니/밀리 초이스 프리미엄,130000,239800,239000,0,239000,800
2025-09-12,2025-10-07 14:04:29,KT,애플,번호이동,5G,iPhone 17 Pro Max 2TB,티빙/지니/밀리 초이스 프리미엄,130000,3190000,250000,0,250000,2940000
2025-09-12,2025-10-07 14:04:29,KT,애플,번호이동,5G,iPhone 17 Pro Max 1TB,티빙/지니/밀리 초이스 프리미엄,130000,2585000,250000,0,250000,2335000
2025-09-12,2025-10-07 14:04:29,KT,애플,번호이동,5G,iPhone 17 Pro Max 512GB,티빙/지니/밀리 초이스 프리미엄,130000,2288000,250000,0,250000,2038000
2025-09-12,2025-10-07 14:04:29,KT,애플,번호이동,5G,iPhone 17 Pro Max 256GB,티빙/지니/밀리 초이스 프리미엄,130000,1980000,250000,0,250000,1730000
2025-09-12,2025-10-07 14:04:29,KT,애플,번호이동,5G,iPhone 17 Pro 1TB,티빙/지니/밀리 초이스 프리미엄,130000,2387000,450000,0,450000,1937000
2025-09-12,2025-10-07 14:04:29,KT,애플,번호이동,5G,iPhone 17 Pro 512GB,티빙/지니/밀리 초이스 프리미엄,130000,2090000,450000,0,450000,1640000
