date,crawled_at,carrier,manufacturer,scrb_type_name,network_type,device_nm,plan_name,monthly_fee,release_price,public_support_fee,additional_support_fee,total_support_fee,total_price
2025.07.22,2025-07-22 10:29:03,SK,삼성,기기변경,5G,갤럭시 Z 폴드7 256G,0 청년 다이렉트 62,62000,2379300,0,2379300,2379300,0
2025.07.22,2025-07-22 10:29:03,SK,삼성,기기변경,5G,갤럭시 Z 플립7 256G,0 청년 다이렉트 62,62000,1485000,0,1485000,1485000,0
2025.07.22,2025-07-22 10:29:03,SK,삼성,기기변경,5G,갤럭시 Z 플립7 512G,0 청년 다이렉트 62,62000,1643400,0,1643400,1643400,0
2025.07.15,2025-07-22 10:29:03,SK,삼성,기기변경,5G,갤럭시 Z 폴드7 512G,0 청년 다이렉트 62,62000,2537700,0,2537700,2537700,0
2025.07.15,2025-07-22 10:29:03,SK,삼성,기기변경,5G,갤럭시 Z 플립7 FE 256G,0 청년 다이렉트 62,62000,1199000,0,1199000,1199000,0
2025.07.15,2025-07-22 10:29:03,SK,삼성,기기변경,5G,갤럭시 Z 폴드7 1T,0 청년 다이렉트 62,62000,2933700,0,2933700,2933700,0
2025.07.01,2025-07-22 10:29:03,SK,삼성,기기변경,5G,갤럭시 와이드8 128G,0 청년 다이렉트 62,62000,374000,0,374000,374000,0
2025.07.01,2025-07-22 10:29:03,SK,삼성,기기변경,5G,갤럭시 와이드8 128G,0 청년 다이렉트 62,62000,374000,0,374000,374000,0
2025.07.01,2025-07-22 10:29:03,SK,삼성,기기변경,5G,갤럭시 와이드8 128G,0 청년 다이렉트 62,62000,374000,0,374000,374000,0
2025.06.26,2025-07-22 10:29:03,SK,기타,기기변경,5G,홍미노트 14 256G,0 청년 다이렉트 62,62000,319000,0,319000,319000,0
2025.06.26,2025-07-22 10:29:03,SK,기타,기기변경,5G,홍미노트 14 256G,0 청년 다이렉트 62,62000,319000,0,319000,319000,0
2025.06.26,2025-07-22 10:29:03,SK,기타,기기변경,5G,홍미노트 14 256G,0 청년 다이렉트 62,62000,319000,0,319000,319000,0
2025.06.24,2025-07-22 10:29:03,SK,애플,기기변경,5G,iPhone 16e 128G,0 청년 다이렉트 62,62000,990000,0,990000,990000,0
2025.06.24,2025-07-22 10:29:03,SK,삼성,기기변경,5G,갤럭시 S24 울트라 5G 512G,0 청년 다이렉트 62,62000,1841400,0,1841400,1841400,0
2025.06.24,2025-07-22 10:29:03,SK,애플,기기변경,5G,iPhone 16e 512G,0 청년 다이렉트 62,62000,1430000,0,1430000,1430000,0
2025.06.24,2025-07-22 10:29:03,SK,애플,기기변경,5G,iPhone 16 Plus 256G,0 청년 다이렉트 62,62000,1496000,0,1496000,1496000,0
2025.06.24,2025-07-22 10:29:03,SK,삼성,기기변경,5G,갤럭시 S24+ 5G 256G,0 청년 다이렉트 62,62000,1353000,0,1353000,1353000,0
2025.06.24,2025-07-22 10:29:03,SK,삼성,기기변경,5G,갤럭시 S24+ 5G 512G,0 청년 다이렉트 62,62000,1496000,0,1496000,1496000,0
2025.06.24,2025-07-22 10:29:03,SK,애플,기기변경,5G,iPhone 16e 256G,0 청년 다이렉트 62,62000,1133000,0,1133000,1133000,0
2025.06.24,2025-07-22 10:29:03,SK,삼성,기기변경,5G,갤럭시 S24 5G 256G,0 청년 다이렉트 62,62000,1155000,0,1155000,1155000,0
