date,crawled_at,carrier,manufacturer,scrb_type_name,network_type,device_nm,plan_name,monthly_fee,release_price,public_support_fee,additional_support_fee,total_support_fee,total_price
2025-08-12,2025-08-12 10:54:38,KT,삼성,신규가입,5G,갤럭시 Jump4 128GB,티빙/지니/밀리 초이스 프리미엄,130000,449900,435000,0,435000,14900
2025-08-12,2025-08-12 10:54:38,KT,삼성,신규가입,5G,갤럭시 Jump3,티빙/지니/밀리 초이스 프리미엄,130000,438900,380000,0,380000,58900
2025-08-02,2025-08-12 10:54:38,KT,삼성,신규가입,5G,갤럭시 Z Flip7 512GB,티빙/지니/밀리 초이스 프리미엄,130000,1643400,500000,0,500000,1143400
2025-08-02,2025-08-12 10:54:38,KT,삼성,신규가입,5G,갤럭시 Z Flip7 256GB,티빙/지니/밀리 초이스 프리미엄,130000,1485000,500000,0,500000,985000
2025-08-01,2025-08-12 10:54:38,KT,삼성,신규가입,5G,갤럭시 A36 5G 128GB,티빙/지니/밀리 초이스 프리미엄,130000,499400,435000,0,435000,64400
2025-08-12,2025-08-12 10:54:54,KT,삼성,신규가입,5G,갤럭시 Jump4 128GB,티빙/지니/밀리 초이스 스페셜,110000,449900,435000,0,435000,14900
2025-08-12,2025-08-12 10:54:54,KT,삼성,신규가입,5G,갤럭시 Jump3,티빙/지니/밀리 초이스 스페셜,110000,438900,380000,0,380000,58900
2025-08-02,2025-08-12 10:54:54,KT,삼성,신규가입,5G,갤럭시 Z Flip7 512GB,티빙/지니/밀리 초이스 스페셜,110000,1643400,500000,0,500000,1143400
2025-08-02,2025-08-12 10:54:54,KT,삼성,신규가입,5G,갤럭시 Z Flip7 256GB,티빙/지니/밀리 초이스 스페셜,110000,1485000,500000,0,500000,985000
2025-08-01,2025-08-12 10:54:54,KT,삼성,신규가입,5G,갤럭시 A36 5G 128GB,티빙/지니/밀리 초이스 스페셜,110000,499400,435000,0,435000,64400
2025-08-12,2025-08-12 10:55:27,KT,삼성,번호이동,5G,갤럭시 Jump4 128GB,티빙/지니/밀리 초이스 프리미엄,130000,449900,435000,0,435000,14900
2025-08-12,2025-08-12 10:55:27,KT,삼성,번호이동,5G,갤럭시 Jump3,티빙/지니/밀리 초이스 프리미엄,130000,438900,380000,0,380000,58900
2025-08-02,2025-08-12 10:55:27,KT,삼성,번호이동,5G,갤럭시 Z Flip7 512GB,티빙/지니/밀리 초이스 프리미엄,130000,1643400,500000,0,500000,1143400
2025-08-02,2025-08-12 10:55:27,KT,삼성,번호이동,5G,갤럭시 Z Flip7 256GB,티빙/지니/밀리 초이스 프리미엄,130000,1485000,500000,0,500000,985000
2025-08-01,2025-08-12 10:55:27,KT,삼성,번호이동,5G,갤럭시 A36 5G 128GB,티빙/지니/밀리 초이스 프리미엄,130000,499400,435000,0,435000,64400
2025-08-12,2025-08-12 10:55:43,KT,삼성,번호이동,5G,갤럭시 Jump4 128GB,티빙/지니/밀리 초이스 스페셜,110000,449900,435000,0,435000,14900
2025-08-12,2025-08-12 10:55:43,KT,삼성,번호이동,5G,갤럭시 Jump3,티빙/지니/밀리 초이스 스페셜,110000,438900,380000,0,380000,58900
2025-08-02,2025-08-12 10:55:43,KT,삼성,번호이동,5G,갤럭시 Z Flip7 512GB,티빙/지니/밀리 초이스 스페셜,110000,1643400,500000,0,500000,1143400
2025-08-02,2025-08-12 10:55:43,KT,삼성,번호이동,5G,갤럭시 Z Flip7 256GB,티빙/지니/밀리 초이스 스페셜,110000,1485000,500000,0,500000,985000
2025-08-01,2025-08-12 10:55:43,KT,삼성,번호이동,5G,갤럭시 A36 5G 128GB,티빙/지니/밀리 초이스 스페셜,110000,499400,435000,0,435000,64400
2025-08-12,2025-08-12 10:56:17,KT,삼성,기기변경,5G,갤럭시 Jump4 128GB,티빙/지니/밀리 초이스 프리미엄,130000,449900,435000,0,435000,14900
2025-08-12,2025-08-12 10:56:17,KT,삼성,기기변경,5G,갤럭시 Jump3,티빙/지니/밀리 초이스 프리미엄,130000,438900,380000,0,380000,58900
2025-08-02,2025-08-12 10:56:17,KT,삼성,기기변경,5G,갤럭시 Z Flip7 512GB,티빙/지니/밀리 초이스 프리미엄,130000,1643400,500000,0,500000,1143400
2025-08-02,2025-08-12 10:56:17,KT,삼성,기기변경,5G,갤럭시 Z Flip7 256GB,티빙/지니/밀리 초이스 프리미엄,130000,1485000,500000,0,500000,985000
2025-08-01,2025-08-12 10:56:17,KT,삼성,기기변경,5G,갤럭시 A36 5G 128GB,티빙/지니/밀리 초이스 프리미엄,130000,499400,435000,0,435000,64400
2025-08-12,2025-08-12 10:56:32,KT,삼성,기기변경,5G,갤럭시 Jump4 128GB,티빙/지니/밀리 초이스 스페셜,110000,449900,435000,0,435000,14900
2025-08-12,2025-08-12 10:56:32,KT,삼성,기기변경,5G,갤럭시 Jump3,티빙/지니/밀리 초이스 스페셜,110000,438900,380000,0,380000,58900
2025-08-02,2025-08-12 10:56:32,KT,삼성,기기변경,5G,갤럭시 Z Flip7 512GB,티빙/지니/밀리 초이스 스페셜,110000,1643400,500000,0,500000,1143400
2025-08-02,2025-08-12 10:56:32,KT,삼성,기기변경,5G,갤럭시 Z Flip7 256GB,티빙/지니/밀리 초이스 스페셜,110000,1485000,500000,0,500000,985000
2025-08-01,2025-08-12 10:56:32,KT,삼성,기기변경,5G,갤럭시 A36 5G 128GB,티빙/지니/밀리 초이스 스페셜,110000,499400,435000,0,435000,64400
