date,crawled_at,carrier,manufacturer,scrb_type_name,network_type,device_nm,plan_name,monthly_fee,release_price,public_support_fee,additional_support_fee,total_support_fee,total_price
2025-10-01,2025-10-07 14:06:39,LG,애플,기기변경,5G,iPhone 16 Pro Max 512GB,Global 14GB,55000,2200000,299000,44850,343850,1856150
2025-10-01,2025-10-07 14:06:39,LG,애플,기기변경,5G,iPhone 16 Pro 1TB,Global 14GB,55000,2299000,299000,44850,343850,1955150
2025-10-01,2025-10-07 14:06:39,LG,애플,기기변경,5G,iPhone 16 512GB,Global 14GB,55000,1694000,299000,44850,343850,1350150
2025-10-01,2025-10-07 14:06:39,LG,애플,기기변경,5G,iPhone 16 128GB,Global 14GB,55000,1243000,299000,44850,343850,899150
2025-10-01,2025-10-07 14:06:39,LG,애플,기기변경,5G,iPhone 16 Pro Max 1TB,Global 14GB,55000,2497000,299000,44850,343850,2153150
2025-10-01,2025-10-07 14:06:39,LG,애플,기기변경,5G,iPhone 16 Pro 512GB,Global 14GB,55000,1991000,299000,44850,343850,1647150
2025-10-01,2025-10-07 14:06:39,LG,애플,기기변경,5G,iPhone 16 256GB,Global 14GB,55000,1397000,299000,44850,343850,1053150
2025-10-01,2025-10-07 14:06:39,LG,애플,기기변경,5G,iPhone 16 Pro 128GB,Global 14GB,55000,1540000,299000,44850,343850,1196150
2025-10-01,2025-10-07 14:06:39,LG,애플,기기변경,5G,iPhone 16 Pro 256GB,Global 14GB,55000,1694000,299000,44850,343850,1350150
2025-10-01,2025-10-07 14:06:39,LG,애플,기기변경,5G,iPhone 16 Pro Max 256GB,Global 14GB,55000,1892000,299000,44850,343850,1548150
2025-09-19,2025-10-07 14:06:40,LG,삼성,기기변경,5G,갤럭시탭 S11 Ultra 512GB,Global 14GB,55000,1954700,50000,7500,57500,1897200
2025-09-19,2025-10-07 14:06:40,LG,삼성,기기변경,5G,갤럭시 S25 FE,Global 14GB,55000,946000,98000,14700,112700,833300
2025-09-19,2025-10-07 14:06:40,LG,삼성,기기변경,5G,갤럭시탭 S11 256GB,Global 14GB,55000,1274900,50000,7500,57500,1217400
2025-09-18,2025-10-07 14:06:40,LG,삼성,기기변경,5G,갤럭시 Z Flip 5 중고폰 256GB,Global 14GB,55000,485000,284000,42600,326600,158400
2025-09-18,2025-10-07 14:06:40,LG,삼성,기기변경,5G,갤럭시 Z Flip 5 중고폰 512GB,Global 14GB,55000,496000,284000,42600,326600,169400
2025-09-13,2025-10-07 14:06:40,LG,기타,기기변경,5G,Apple Watch SE 2025 40mm 스포츠밴드L,Global 14GB,55000,429000,250000,37500,287500,141500
2025-09-13,2025-10-07 14:06:40,LG,기타,기기변경,5G,Apple Watch Series 11 AL 42 스포츠밴드L,Global 14GB,55000,748000,50000,7500,57500,690500
2025-09-13,2025-10-07 14:06:40,LG,기타,기기변경,5G,Apple Watch Series 11 TI 42 밀레니엄루프,Global 14GB,55000,1067000,50000,7500,57500,1009500
2025-09-13,2025-10-07 14:06:40,LG,기타,기기변경,5G,Apple Watch Series 11 TI 46 스포츠루프L,Global 14GB,55000,1067000,50000,7500,57500,1009500
2025-09-13,2025-10-07 14:06:40,LG,기타,기기변경,5G,Apple Watch Ultra3 트레일루프 S,Global 14GB,55000,1243000,50000,7500,57500,1185500
