date,carrier,manufacturer,device_nm,product_group_nm,storage,dealer,join_type,support_type,rate_plan,rate_plan_month_fee,retail_price,total_support_fee,dealer_subsidy,origin_installment_principal,origin_month_device_price,origin_month_price,month_rate_plan_price,installment_principal,month_device_price,month_price,margin,margin_amount
2025. 7. 14,SK,애플,IP15PL_256GB,아이폰 15 플러스,256GB,윤텔,기기변경,선약,T플랜 맥스,100000.0,1342000.0,0.0,450000.0,892000.0,37167.0,132715.0,95548,954440.0,39768.0,135316.0,0.07,62440.0
2025. 7. 14,SK,애플,IP15PL_256GB,아이폰 15 플러스,256GB,윤텔,번호이동,공시,0 청년 43,43000.0,1793000.0,56300.0,30000.0,1706700.0,71112.0,114112.0,43000,1826169.0,76090.0,119090.0,0.07,119469.0
2025. 7. 14,SK,애플,IP15PL_256GB,아이폰 15 플러스,256GB,윤텔,번호이동,공시,5GX 레귤러,69000.0,1793000.0,85100.0,80000.0,1627900.0,67829.0,136829.0,69000,1741853.0,72577.0,141577.0,0.07,113953.0
2025. 7. 14,SK,애플,IP15PL_256GB,아이폰 15 플러스,256GB,윤텔,번호이동,공시,5GX 레귤러플러스,79000.0,1793000.0,104600.0,130000.0,1558400.0,64933.0,143933.0,79000,1667488.0,69479.0,148479.0,0.07,109088.0
2025. 7. 14,SK,애플,IP15PL_256GB,아이폰 15 플러스,256GB,윤텔,번호이동,공시,5GX 프리미엄(유튜브 프리미엄),109000.0,1793000.0,147200.0,190000.0,1455800.0,60658.0,169658.0,109000,1557706.0,64904.0,173904.0,0.07,101906.0
2025. 7. 14,SK,애플,IP15PL_256GB,아이폰 15 플러스,256GB,윤텔,번호이동,선약,0 청년 43,43000.0,1793000.0,0.0,30000.0,1763000.0,73458.0,114544.0,41086,1886410.0,78600.0,119686.0,0.07,123410.0
2025. 7. 14,SK,애플,IP15PL_256GB,아이폰 15 플러스,256GB,윤텔,번호이동,선약,5GX 레귤러,69000.0,1793000.0,0.0,80000.0,1713000.0,71375.0,137303.0,65928,1832910.0,76371.0,142299.0,0.07,119910.0
2025. 7. 14,SK,애플,IP15PL_256GB,아이폰 15 플러스,256GB,윤텔,번호이동,선약,5GX 레귤러플러스,79000.0,1793000.0,0.0,130000.0,1663000.0,69292.0,144775.0,75483,1779410.0,74142.0,149625.0,0.07,116410.0
2025. 7. 14,SK,애플,IP15PL_256GB,아이폰 15 플러스,256GB,윤텔,번호이동,선약,5GX 프리미엄(유튜브 프리미엄),109000.0,1793000.0,0.0,190000.0,1603000.0,66792.0,170939.0,104147,1715210.0,71467.0,175614.0,0.07,112210.0
2025. 7. 14,SK,애플,IP15PL_256GB,아이폰 15 플러스,256GB,윤텔,기기변경,공시,0 청년 43,43000.0,1793000.0,56300.0,130000.0,1606700.0,66946.0,109946.0,43000,1719169.0,71632.0,114632.0,0.07,112469.0
2025. 7. 14,SK,애플,IP15PL_256GB,아이폰 15 플러스,256GB,윤텔,기기변경,공시,5GX 레귤러,69000.0,1793000.0,85100.0,180000.0,1527900.0,63662.0,132662.0,69000,1634853.0,68119.0,137119.0,0.07,106953.0
2025. 7. 14,SK,애플,IP15PL_256GB,아이폰 15 플러스,256GB,윤텔,기기변경,공시,5GX 레귤러플러스,79000.0,1793000.0,104600.0,320000.0,1368400.0,57017.0,136017.0,79000,1464188.0,61008.0,140008.0,0.07,95788.0
2025. 7. 14,SK,애플,IP15PL_256GB,아이폰 15 플러스,256GB,윤텔,기기변경,선약,5GX 레귤러플러스,79000.0,1793000.0,0.0,420000.0,1373000.0,57208.0,132691.0,75483,1469110.0,61213.0,136696.0,0.07,96110.0
2025. 7. 14,SK,애플,IP15P_128GB,아이폰 15 프로,128GB,윤텔,번호이동,공시,T플랜 맥스,100000.0,1694000.0,540500.0,160000.0,993500.0,41396.0,141396.0,100000,1063045.0,44294.0,144294.0,0.07,69545.0
2025. 7. 14,SK,애플,IP15P_128GB,아이폰 15 프로,128GB,윤텔,번호이동,선약,T플랜 맥스,100000.0,1694000.0,0.0,160000.0,1534000.0,63917.0,159465.0,95548,1641380.0,68391.0,163939.0,0.07,107380.0
2025. 7. 14,SK,애플,IP15P_128GB,아이폰 15 프로,128GB,윤텔,기기변경,공시,T플랜 맥스,100000.0,1694000.0,540500.0,150000.0,1003500.0,41812.0,141812.0,100000,1073745.0,44739.0,144739.0,0.07,70245.0
2025. 7. 14,SK,애플,IP15P_128GB,아이폰 15 프로,128GB,윤텔,기기변경,선약,T플랜 맥스,100000.0,1694000.0,0.0,500000.0,1194000.0,49750.0,145298.0,95548,1277580.0,53232.0,148780.0,0.07,83580.0
2025. 7. 14,SK,애플,IP15P_128GB,아이폰 15 프로,128GB,윤텔,번호이동,공시,0 청년 43,43000.0,2299000.0,310500.0,30000.0,1958500.0,81604.0,124604.0,43000,2095595.0,87316.0,130316.0,0.07,137095.0
2025. 7. 14,SK,애플,IP15P_128GB,아이폰 15 프로,128GB,윤텔,번호이동,공시,5GX 레귤러,69000.0,1991000.0,384100.0,80000.0,1526900.0,63621.0,132621.0,69000,1633783.0,68074.0,137074.0,0.07,106883.0
2025. 7. 14,SK,애플,IP15P_128GB,아이폰 15 프로,128GB,윤텔,번호이동,공시,5GX 레귤러플러스,79000.0,2299000.0,458800.0,130000.0,1710200.0,71258.0,150258.0,79000,1829914.0,76246.0,155246.0,0.07,119714.0
